table_name,column_sequence,column_name,label,logical_type,field_size,precision,units,domain_name,plan_group,join_path,output_dimensions,rasterization_status,proposed_encoding
chaashto,1,aashtocl,AASHTO,Choice,254,,,aashto_group_classification,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chaashto,2,rvindicator,RV?,Boolean,3,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chaashto,3,chkey,Chorizon Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chaashto,4,chaashtokey,Chorizon AASHTO Key,String,254,,,,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",linkage_key,retain only when it has independent provenance value
chconsistence,1,rupresblkmst,Rupture Moist,Choice,254,,,rupture_resist_block_moist,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,2,rupresblkdry,Rupture Dry,Choice,254,,,rupture_resist_block_dry,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,3,rupresblkcem,Rupture Cement,Choice,254,,,rupture_resist_block_cem,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,4,rupresplate,Rupture Plate,Choice,254,,,rupture_resist_plate,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,5,mannerfailure,Manner of Failure,Choice,254,,,manner_of_failure,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
chconsistence,6,stickiness,Stickiness,Choice,254,,,stickiness,dimensioned_horizon,mukey -> component -> chorizon -> child table,"(depth_interval, category, y, x) or lookup",possible_dimensioned,category/depth/month dimension or sparse lookup
